repo_name,tag_name,commit_sha,url
cielzzz/PyTorch_Notebook,master,0622e3446801aed71be8d40a1771a32ee122bac3,https://github.com/cielzzz/PyTorch_Notebook/archive/0622e3446801aed71be8d40a1771a32ee122bac3.tar.gz
cjsg/fast-pytorch-loader,main,e994170f8f60351ddc2b9c706ef421420000163f,https://github.com/cjsg/fast-pytorch-loader/archive/e994170f8f60351ddc2b9c706ef421420000163f.tar.gz
iVishalr/MNIST-PyTorch,main,3a9bb664918e75a001f7b65250bb17b6179db92f,https://github.com/iVishalr/MNIST-PyTorch/archive/3a9bb664918e75a001f7b65250bb17b6179db92f.tar.gz
homomorfism/vision-transformer-pytorch,master,a1826f9daa9369d83fa6d4187e644ad335680e31,https://github.com/homomorfism/vision-transformer-pytorch/archive/a1826f9daa9369d83fa6d4187e644ad335680e31.tar.gz
VBukowsky81/PyTorchANN,main,faa2be7543a41befb2ad3ab67db1b797b30acb88,https://github.com/VBukowsky81/PyTorchANN/archive/faa2be7543a41befb2ad3ab67db1b797b30acb88.tar.gz
Aringan0323/pytorch_person_detection,main,67342a20a87892829511f12d733d887f50dd0ede,https://github.com/Aringan0323/pytorch_person_detection/archive/67342a20a87892829511f12d733d887f50dd0ede.tar.gz
AIdward/nlp-chatbot-pytorch,master,a9598ea4794ee781ab69d43e4627af8f811fbe42,https://github.com/AIdward/nlp-chatbot-pytorch/archive/a9598ea4794ee781ab69d43e4627af8f811fbe42.tar.gz
stephchen/sc-pytorch-mnist,master,42d2e447b946527a72c433b3e38727e04549c66e,https://github.com/stephchen/sc-pytorch-mnist/archive/42d2e447b946527a72c433b3e38727e04549c66e.tar.gz
princexoleo/pytorch_imageclassifier_codebase,main,a515da3a791482452c3092f63b306dbdccb069c3,https://github.com/princexoleo/pytorch_imageclassifier_codebase/archive/a515da3a791482452c3092f63b306dbdccb069c3.tar.gz
kerenskybr/nlp_pytorch_book,main,ba8feae92c875c1e65ad5a25a2363393ab0daf79,https://github.com/kerenskybr/nlp_pytorch_book/archive/ba8feae92c875c1e65ad5a25a2363393ab0daf79.tar.gz
MartinusChoi/ResNet_Pytorch,master,d6b12f3b9cfec198ba22fee1bfbc650e6b164e2a,https://github.com/MartinusChoi/ResNet_Pytorch/archive/d6b12f3b9cfec198ba22fee1bfbc650e6b164e2a.tar.gz
derdre/pytorch-image-classifier,main,3515a5d2c4f6729c38a8fe1c8067fff4cee41cae,https://github.com/derdre/pytorch-image-classifier/archive/3515a5d2c4f6729c38a8fe1c8067fff4cee41cae.tar.gz
seunghyukcho/pytorch-sentiment-classification,main,711d27bb90acea95636f906c9c9526db0cdb8974,https://github.com/seunghyukcho/pytorch-sentiment-classification/archive/711d27bb90acea95636f906c9c9526db0cdb8974.tar.gz
fulcrum-zou/pytorch-cifar10,master,7424e4f9c426dde944a24c6d4061f19a14e00c9b,https://github.com/fulcrum-zou/pytorch-cifar10/archive/7424e4f9c426dde944a24c6d4061f19a14e00c9b.tar.gz
josh3255/Vision-Transformer-Pytorch,main,c2087fb8f6d41b67679a94868e6f6d4ee7a04831,https://github.com/josh3255/Vision-Transformer-Pytorch/archive/c2087fb8f6d41b67679a94868e6f6d4ee7a04831.tar.gz
