repo_name,tag_name,commit_sha,url
SvenVincent/pytorch3d,master,d2fa0909f5c50126284bf76d2141ac2bd8294e77,https://github.com/SvenVincent/pytorch3d/archive/d2fa0909f5c50126284bf76d2141ac2bd8294e77.tar.gz
ducido/PytorchLightning_usage,main,587096e2ec00133fa921c799f00175915242270b,https://github.com/ducido/PytorchLightning_usage/archive/587096e2ec00133fa921c799f00175915242270b.tar.gz
abhilashreddyy/pytorchCustomLibrary,main,af93556d5dede7c81a4836e719888588ec899821,https://github.com/abhilashreddyy/pytorchCustomLibrary/archive/af93556d5dede7c81a4836e719888588ec899821.tar.gz
arhantalwar/pytorch_,master,cb52243abdce67f40cf376f6ed9ef03e25345a63,https://github.com/arhantalwar/pytorch_/archive/cb52243abdce67f40cf376f6ed9ef03e25345a63.tar.gz
marktheawesome/expert-octo-waffle,main,35225c1251e3123231776c22535a3cf9b4d6b8ac,https://github.com/marktheawesome/expert-octo-waffle/archive/35225c1251e3123231776c22535a3cf9b4d6b8ac.tar.gz
amineghamgui/pytorchvideoamine,main,528306823cde04cf4b31b126d7303b80408920a3,https://github.com/amineghamgui/pytorchvideoamine/archive/528306823cde04cf4b31b126d7303b80408920a3.tar.gz
sam-lb/pytorchprojects,master,5159f345d72ba445ec01c136ed7bd238625aae19,https://github.com/sam-lb/pytorchprojects/archive/5159f345d72ba445ec01c136ed7bd238625aae19.tar.gz
YYT1004/pytorchlearn,main,3810509fe258d5f0c40d57aaab0d08dafa10af81,https://github.com/YYT1004/pytorchlearn/archive/3810509fe258d5f0c40d57aaab0d08dafa10af81.tar.gz
Ifeeding99/pytorch-scripts,main,563a5a6cb3db38ae6b7d4ae4ed087348e7e4b7ee,https://github.com/Ifeeding99/pytorch-scripts/archive/563a5a6cb3db38ae6b7d4ae4ed087348e7e4b7ee.tar.gz
agrim1989/pytorch_basics,main,df65189b124899e6e2b3cb1bb95b320cfa16a9b4,https://github.com/agrim1989/pytorch_basics/archive/df65189b124899e6e2b3cb1bb95b320cfa16a9b4.tar.gz
s1155160221/boundless_pytorch,main,f4362c6221158a03ddcb6558b5b63ce62b24610c,https://github.com/s1155160221/boundless_pytorch/archive/f4362c6221158a03ddcb6558b5b63ce62b24610c.tar.gz
yusuke1127/pytorch_practice,main,0f7027653dd6f31625706a4f273a219a1a1c9ec5,https://github.com/yusuke1127/pytorch_practice/archive/0f7027653dd6f31625706a4f273a219a1a1c9ec5.tar.gz
Pang-GJ/AI-Pytorch,main,ebfc50479330a9410a9e6a09d4c575be38432c72,https://github.com/Pang-GJ/AI-Pytorch/archive/ebfc50479330a9410a9e6a09d4c575be38432c72.tar.gz
dundundundun5/har_pytorch,main,ea8f43b9c4eaa4cb60d3c4fb3e99974a925f39d6,https://github.com/dundundundun5/har_pytorch/archive/ea8f43b9c4eaa4cb60d3c4fb3e99974a925f39d6.tar.gz
ken-hori-2/pytorch_advanced,main,98658b751b3c0148823c02fa849fb86d5517805a,https://github.com/ken-hori-2/pytorch_advanced/archive/98658b751b3c0148823c02fa849fb86d5517805a.tar.gz
jiaowoguanren0615/VAR-Pytorch,main,2949e54393be89968df7f2a838bd81b3c5bd667b,https://github.com/jiaowoguanren0615/VAR-Pytorch/archive/2949e54393be89968df7f2a838bd81b3c5bd667b.tar.gz
bilalkhan0987/pytorch-complex,main,acf217cac7e5b5678051883de084c3bae3979919,https://github.com/bilalkhan0987/pytorch-complex/archive/acf217cac7e5b5678051883de084c3bae3979919.tar.gz
lirongren2001/SMFCNet_pytorch,main,e8db64f40979d39b65d1f92528c5251fef0193fd,https://github.com/lirongren2001/SMFCNet_pytorch/archive/e8db64f40979d39b65d1f92528c5251fef0193fd.tar.gz
mParthSaharanf/vae-pytorch,main,2aea2b3356408b16cd85603efb20484692b637ba,https://github.com/mParthSaharanf/vae-pytorch/archive/2aea2b3356408b16cd85603efb20484692b637ba.tar.gz
